Time,CPU,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_INSTRS,BRANCH_MISSES,L1_ICACHE_MISS,L1_DCACHE_MISS,ITLB_MISSES,L2_CACHE_MISS,DTLB_MISSES,LoadType,Rep
2025-05-16 15:39:41,15,151979805,155532206,2383008,27148395,886371,97354,2511940,97589,117160,909109,cpu,1
2025-05-16 15:39:42,0,52593899,28332460,289795,5772603,267936,38386,689325,13253,23549,128068,cpu,1
2025-05-16 15:39:42,1,598701802,1033081544,12645711,109624486,1658614,72159,15936854,1717,1080062,29139,cpu,1
2025-05-16 15:39:42,2,120210941,174744914,2001038,18715018,438233,49992,6132959,27196,183018,36499,cpu,1
2025-05-16 15:39:42,3,508788888,866425438,9267834,93902494,1269909,120274,26868974,2951,907671,11035,cpu,1
2025-05-16 15:39:42,4,459274704,806428657,9508435,86979760,1219750,152190,40046705,2688,213024,19155,cpu,1
2025-05-16 15:39:42,5,156447995,254622622,2407791,28449237,469375,52399,8003232,8330,282375,21654,cpu,1
2025-05-16 15:39:42,6,117189326,84774553,1191491,16337918,985880,165309,1966125,163221,106123,325202,cpu,1
2025-05-16 15:39:42,7,96465610,71538903,573452,14651900,1225574,190611,1124968,145288,98116,220130,cpu,1
2025-05-16 15:39:42,8,288208834,473545106,5305266,51206744,841635,41352,7438651,15720,353477,90160,cpu,1
2025-05-16 15:39:42,9,342952386,620857453,5374991,83659665,1096059,102222,16623887,74354,741057,103604,cpu,1
2025-05-16 15:39:42,10,55674680,32788461,825977,6744665,378603,48087,717914,62636,34353,113661,cpu,1
2025-05-16 15:39:42,11,54343306,37573682,717481,6852951,359710,77949,1931578,41307,51680,75263,cpu,1
2025-05-16 15:39:42,12,593262562,1199915741,2607552,223348861,3588504,441254,29635881,357015,1717717,275938,cpu,1
2025-05-16 15:39:42,13,58181749,34185138,730024,6550175,302003,27325,1117841,19057,33602,226233,cpu,1
2025-05-16 15:39:42,14,79495477,55759011,941657,11397833,477473,47395,766715,47046,72560,236158,cpu,1
2025-05-16 15:39:42,15,74818817,53650814,1120175,10564144,489683,25318,432308,43529,39176,181787,cpu,1
2025-05-16 15:39:42,0,430897130,780799878,6960089,102109689,1566351,126327,19463761,70959,882018,135009,cpu,1
2025-05-16 15:39:42,1,146807303,178751959,3104125,21409250,529397,51114,3407882,95244,233466,129630,cpu,1
2025-05-16 15:39:42,2,319414543,382068624,7309023,53603624,1323111,392642,14901310,186368,376533,1212335,cpu,1
2025-05-16 15:39:42,3,332463979,365082756,9088591,61580277,1413165,464325,17443529,199421,301513,2677636,cpu,1
2025-05-16 15:39:42,4,366607020,611330611,6693942,66537390,923404,146112,30305277,36667,311140,17252,cpu,1
2025-05-16 15:39:42,5,268606756,448001296,4831618,48827998,693931,73656,14253852,22230,454566,17259,cpu,1
2025-05-16 15:39:42,6,307110974,495838563,3948195,74399587,1728683,250295,11971329,143574,594259,210083,cpu,1
2025-05-16 15:39:44,7,175145169,295899055,2157595,55820532,923105,126856,6985698,73155,308154,1106987,cpu,1
2025-05-16 15:39:44,8,78515819,127273854,391122,25107909,483152,20711,862762,36279,132754,72933,cpu,1
2025-05-16 15:39:44,9,549306111,1025712231,8588425,141947725,2031056,134850,25798741,90517,1272797,124867,cpu,1
2025-05-16 15:39:44,10,99674029,80230779,2212310,15387674,833163,76314,1828183,93756,69523,157744,cpu,1
2025-05-16 15:39:44,11,69015132,56304609,1105448,11164809,601958,136918,2696616,75864,46522,78196,cpu,1
2025-05-16 15:39:44,12,269753147,446968613,4514058,56442369,1060127,143800,20413947,68948,510596,32635,cpu,1
2025-05-16 15:39:44,13,363658984,592258652,7390133,63879632,1237976,105816,20293438,11252,648794,28619,cpu,1
2025-05-16 15:39:44,14,99175624,81038653,1319831,16138128,847647,62747,973516,65442,83605,129981,cpu,1
2025-05-16 15:39:44,15,119911651,159301122,2059475,24933564,902281,46349,2442320,48270,171623,93702,cpu,1
2025-05-16 15:39:44,0,255724821,339266691,4520469,41020969,1091591,146440,10593581,88179,334467,269011,cpu,1
2025-05-16 15:39:44,1,430627950,655082750,4852137,100170168,1729176,277374,18987475,135196,788802,492837,cpu,1
2025-05-16 15:39:44,2,146662085,87345137,1714913,13632725,914098,198233,2477220,130543,71462,230174,cpu,1
2025-05-16 15:39:44,3,538358218,829429010,9749851,93400323,1744941,240616,27062257,75941,850822,315973,cpu,1
2025-05-16 15:39:44,4,234730227,339732706,4324073,40510322,825476,166184,17427919,67470,148805,202585,cpu,1
2025-05-16 15:39:44,5,422475826,383264048,10909924,74116223,1971510,723607,20760108,266175,249235,3654753,cpu,1
2025-05-16 15:39:44,6,291089068,427138301,6011842,46823307,1262010,179784,13363084,88809,518343,268546,cpu,1
2025-05-16 15:39:44,7,190009945,180651492,3212065,25436890,952444,211932,6455888,132279,144566,478460,cpu,1
2025-05-16 15:39:44,8,97116014,64385035,992833,10392639,602466,40848,1123175,57129,123261,105348,cpu,1
2025-05-16 15:39:44,9,583593214,978702846,11007727,106274797,1671656,161748,31270784,45138,1041162,79115,cpu,1
2025-05-16 15:39:44,10,196935749,121130940,2037195,17432255,1329749,98843,1450490,101569,145906,214903,cpu,1
2025-05-16 15:39:44,11,187987114,94981338,1813447,15546976,1169665,275432,3651145,193680,150138,89995,cpu,1
2025-05-16 15:39:44,12,105834423,59124080,1195547,7737481,552378,90806,2097488,101343,38121,58850,cpu,1
2025-05-16 15:39:44,13,592005423,1007675849,13275481,102073198,1738270,152740,31355207,6625,1037444,75510,cpu,1
2025-05-16 15:39:44,14,217983426,188853278,2818273,29353626,1298284,124791,2594781,114340,468651,382073,cpu,1
2025-05-16 15:39:44,15,205524656,160119081,2977274,21731715,1165675,101546,2095021,108109,468656,378393,cpu,1
2025-05-16 15:39:45,0,195205967,79899818,1258743,12028381,1042964,151478,2436975,40937,105436,58276,cpu,1
