procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 1  0   3840 213248 1024196 6242280    0    0     0   276 20536 8982  1  1 99  0  0
 1  0   3840 182788 1024196 6242608    0    0     0    96 19645 7158  4  2 94  0  0
 0  0   3840 193724 1024196 6242288    0    0     0     0 19806 7846  1  1 98  0  0
 0  0   3840 190736 1024196 6242296    0    0     0     0 18813 5669  1  1 98  0  0
 1  0   3840 195812 1024196 6239708    0    0     0    88 60094 99604 10  7 83  0  0
 1  0   3840 316188 1023764 6138564    0    0     0     8 79376 127353  6  5 90  0  0
 0  0   3840 315096 1023764 6138272    0    0     0    84 39541 47369  1  2 97  0  0
 0  0   3840 322936 1023764 6138276    0    0     0     0 23580 13329  2  1 97  0  0
 0  0   3840 328684 1023764 6138280    0    0     0     4 21075 10189  1  1 98  0  0
 0  0   3840 326444 1023764 6144004    0    0     0     0 31313 31305  3  2 95  0  0
 2  0   3840 322092 1023764 6144628    0    0     0    92 35188 38581  3  2 95  0  0
 0  0   3840 330044 1023768 6144572    0    0     0    76 23664 15616  1  1 98  0  0
 0  0   3840 330028 1023768 6144584    0    0     0     0 22082 12254  1  1 98  0  0
 0  0   3840 327592 1023768 6144588    0    0     0     0 24276 16412  2  1 97  0  0
 0  0   3840 334856 1023768 6144548    0    0     0     0 69951 106803  5  4 91  0  0
 3  0   3840 327428 1023768 6144880    0    0     0    92 62950 94669  4  3 93  0  0
 0  0   3840 327024 1023772 6144812    0    0     0    44 26653 21809  0  1 99  0  0
 0  0   3840 326840 1023772 6144820    0    0     0    12 20379 8845  1  1 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b 交换 空闲 缓冲 缓存   si   so    bi    bo   in   cs us sy id wa st
 0  0   3840 325188 1023772 6144828    0    0     0     4 20436 8987  1  1 98  0  0
 0  0   3840 330704 1023772 6143212    0    0     0     0 25135 16109  3  1 96  0  0
 0  0   3840 331796 1023772 6143540    0    0     0     0 18964 5682  1  1 99  0  0
 0  0   3840 335172 1023776 6139332    0    0     0   100 24597 17320  2  1 97  0  0
 4  0   3840 314324 1023776 6139328    0    0     0    12 31791 30620  3  4 93  0  0
 0  0   3840 333284 1023776 6143892    0    0     0     0 45962 60688  3  3 94  0  0
 1  0   3840 336312 1023776 6144228    0    0     0     0 69312 105882  6  5 89  0  0
 0  0   3840 333040 1023776 6144620    0    0     0     0 29007 26007  2  2 96  0  0
 0  0   3840 330592 1023776 6145332    0    0     0   112 32877 33725  4  2 93  0  0
 0  0   3840 324300 1023776 6145588    0    0     0     8 43806 55462  5  4 91  0  0
 2  0   3840 334620 1023776 6145596    0    0     0     4 58029 82260  7  5 87  0  0
 1  0   3840 333704 1023776 6145896    0    0     0     0 37118 42912  2  2 96  0  0
 1  0   3840 331164 1023776 6145608    0    0     0     0 20349 8984  1  1 99  0  0
 4  0   3840 329876 1023780 6145612    0    0     0   112 55562 85128  3  5 92  0  0
 0  0   3840 331796 1023780 6145624    0    0     0    12 56738 82467  1  2 97  0  0
 1  0   3840 331920 1023780 6145628    0    0     0     0 54176 76855  1  2 97  0  0
 1  0   3840 328868 1023780 6145632    0    0     0     0 55247 79250  1  2 97  0  0
 1  0   3840 336272 1023796 6139792    0    0     0   192 76887 123130  8  5 86  0  0
 0  0   3840 333020 1023796 6140508    0    0     0    68 36680 41807  3  2 95  0  0
 0  0   3840 336928 1023796 6140512    0    0     0    16 49255 74223  4  4 91  0  0
