sec  cycles      instructions  cache-misses  branch-instructions  branch-misses  L1I_miss  L1D_miss  iTLB_miss  dTLB_miss  elapsed_ms
8    752659837   654623040     8739760       65127255             2261210        281917    6467721   192566     288061     100
8    1621387034  1276783776    20208699      198600367            7459627        1002927   13628200  382715     474060     100
8    550714157   286071628     7650948       67115446             3661897        399253    9619587   106375     212166     100
8    617523903   456702815     6331846       34242775             1898103        226810    3482076   167359     262712     100
8    1155723834  460111269     11558474      88360060             5265660        549335    15423841  260544     470256     100
8    538624635   338818216     6268576       68864113             3436498        377417    3664405   171691     171789     100
9    466324280   409974979     8115594       66641882             3565659        273500    9547326   97934      250177     100
9    888266385   769188863     12128315      89180311             5343279        787913    16099395  310717     369064     100
9    200656108   51195233      1864100       9291937              946654         104559    722512    39192      56686      100
9    603056224   423742773     9773367       82391001             3477920        323438    12803258  131865     235120     100
9    125478067   34402776      1220023       9838775              966454         129493    1277349   61006      63789      100
9    159855847   47697454      687994        7412462              902558         85412     794990    35407      37938      100
9    141446352   40898476      1209254       17459183             2352198        66484     848615    18068      26639      100
9    160975737   65420435      2656340       14468860             1112514        103262    1061020   32027      31032      100
9    132619994   48278520      942973        12554484             1002664        107140    930469    46521      30286      100
9    137271123   43558559      1415702       11999979             1037288        125303    947447    29681      37270      100
10   446303158   180658318     5141131       44246615             2423225        250799    2432770   79002      59500      100
10   421116509   144326327     3355308       28458321             2894322        256732    1893883   147424     140189     100
10   223325231   86071467      3418787       16635529             1612520        244230    2129429   162731     189624     100
10   399838875   172226687     7945318       38421084             3266915        483529    3431180   288350     212070     100
10   616573331   254951661     9953789       33511243             2862946        377943    3272209   230433     168955     100
10   476113438   210310653     10088157      42558845             3417777        445229    3088418   214662     111624     100
10   1579197676  1188729232    21321826      253765242            9385121        577064    26040663  250356     2757843    100
10   1242698025  1171533900    12635692      149672936            4939060        686081    23191598  238687     1198483    100
10   1454207527  1209083289    13301285      148348503            5476106        518245    10203029  193326     300044     100
10   1243403591  1333918746    14860603      167318759            5457272        746637    18217364  278608     508644     100
11   1459861954  1281931943    15538308      108008015            6246301        642407    17931438  295497     480406     100
11   737956260   282715217     7179802       57986302             4318995        446060    3015900   210108     247950     100
11   594001936   147964022     4795275       47373202             4154715        384492    3151189   165556     159017     100
11   788374575   386607150     6612121       40826353             3496045        325103    2553411   180957     166670     100
11   603885252   221468472     3935011       46662231             3648895        327855    2039747   95575      102961     100
11   405604032   145056915     2986858       21924112             1713990        142470    1169551   119363     105038     100
11   167050813   45752189      1282916       9739698              980343         82297     759929    23936      31640      100
11   214718961   80687145      3597880       15269142             1294014        146181    1299455   108742     77676      100
11   337743465   175085566     6072840       38298373             2416671        280183    2113596   107109     158840     100
11   191303643   66342183      2882050       13995205             1418384        190004    1632983   110778     118446     100
12   182667464   54928676      2453781       14644432             1155248        155164    1547755   100345     92604      100
12   154886461   49938449      1420545       8601427              1022858        113118    993265    54201      39274      100
12   144737628   64115151      2095040       11936165             907635         119223    1080036   57350      67521      100
12   119765130   31467862      782399        9266099              816102         90537     963079    47812      40329      100
12   241559751   80257446      1555030       21917243             2142809        165236    1501176   92871      99485      100
12   438414468   198586904     5305068       32469930             3011973        311847    1928528   73419      81005      100
12   140781240   50264255      1466787       10995923             1040009        109188    834394    32112      34573      100
12   125709433   37547510      723058        8873533              1228865        150131    1441920   105121     69212      100
12   157041765   48855370      833310        7130958              733970         74160     867605    34770      35761      100
12   122935722   32225852      821245        8007324              793644         77536     842793    42580      31038      100
13   356337137   273090715     9114668       63513283             2314440        248675    2623419   119617     104966     100
13   157983335   73258240      2510926       16510720             1224423        163663    1149961   71354      45329      100
13   122989242   30380339      1895800       24093777             1411711        165404    2684959   91357      151367     100
13   579489007   846133854     15682318      152851770            3835769        133379    13466656  38114      124269     100
13   419912691   302166683     7276490       69760265             4055309        659179    10962126  385973     460637     100
13   327897553   222319175     5648736       34427089             2670055        265255    2313535   106382     107007     100
13   147967826   34984270      922798        11522212             1272420        76623     746655    34383      30759      100
13   252474240   124626259     5527242       22434793             1787765        206142    1348836   83808      79485      100
13   173363613   66199308      2838134       14965428             1021202        112416    1135987   78144      71543      100
