sec  cycles      instructions  cache-misses  branch-instructions  branch-misses  L1I_miss  L1D_miss  iTLB_miss  dTLB_miss  elapsed_ms
8    118761179   34661780      1529682       8909220              992829         97253     794597    23509      52474      100
8    350128070   96439093      3025885       21027714             2060876        222401    2590487   191392     290599     100
8    993092323   374645520     10896968      82205405             4892944        593550    5037359   310319     326406     100
8    685796462   341169319     9394966       50181174             3671667        361121    2282072   142364     216579     100
8    666131073   319262253     9318263       82666385             5793529        553061    5877690   110985     256432     100
8    821922413   562546498     10596240      91119403             4875148        462165    3961375   100775     66924      100
9    3818672621  4115476046    8170395       432749068            26468944       1548917   30025241  2210184    396699     100
9    241888070   57206132      1935937       17546225             1945724        247391    2839530   129514     145876     100
9    320306111   104053376     2219890       19647981             1353322        96404     825286    37208      30617      100
9    177172884   56198178      1237142       7467023              787778         70957     669842    28982      53493      100
9    121642240   29410702      687354        6811203              781216         82627     737525    25025      33052      100
9    642123299   237537257     5862167       57100265             3741427        395691    4201113   201650     259626     100
9    819635265   452825406     4997851       93945764             6698773        640654    5458820   159299     196186     100
9    1023631934  484459709     14437756      105124015            7800629        841642    6497484   514505     415521     100
9    936949869   336439957     9477529       81543978             5970227        653171    4509548   296450     196992     100
10   1278232051  532378422     13310698      85265473             7297134        616152    5028222   329256     339055     100
10   4061947048  4178032511    19699287      438133580            26521681       1663836   25422701  1918275    644273     100
10   505312729   180413550     6767119       38111817             3967421        402607    2659151   241147     190919     100
10   789967983   191125581     5118633       33512023             3444146        263842    1873561   130161     92640      100
10   242834010   72002234      2829062       14851664             1407402        182896    1109763   109725     68026      100
10   779644000   689959796     13751642      163720000            6033370        722905    11376399  270017     248016     100
10   1064248527  817450269     11932909      89988311             5000329        471236    12036761  220841     383800     100
10   2211703501  1842077892    17750029      327986973            10892319       584241    18695347  246446     1994912    100
10   742569848   478428390     9483449       144315677            6431115        808499    6198493   329060     326709     100
10   697560998   258301042     8136034       58101760             4231768        379941    2528470   118553     161152     100
11   765049746   287535836     6895272       83374301             4862966        404519    3929284   93413      176942     100
11   3580647896  3299071841    16302044      371027984            21752438       1402132   30415209  1222959    545406     100
11   584130658   242339102     4276135       42855423             3972629        353955    2357399   151324     229474     100
11   478598551   251893768     5863610       42840568             2484353        219258    1877844   82042      95481      100
11   239293031   259367458     4713278       51635449             2713545        426558    4602635   222407     183707     100
11   190124051   55695294      1817733       9292629              813046         68150     542824    21214      25389      100
11   619108416   444639430     5350277       33552246             2312629        199759    4405662   89214      152243     100
11   640719131   187159150     3991053       37353824             3403049        311395    2034485   110429     130780     100
11   707477189   185758647     5407184       37890620             3655930        357958    2502070   133432     186041     100
11   559834202   216964221     7245597       53022680             4687450        468722    4920549   219653     324326     100
12   806603335   490459482     8339335       79534615             4991998        362533    3548218   119784     115732     100
12   2724253744  2643298014    12534376      313100828            13727355       827225    12835855  546682     330801     100
12   1006499354  782310012     13496944      135568826            5468854        673511    14692452  119787     292176     100
12   855588243   944715784     7204179       63023090             3836468        479567    10285755  117420     329242     100
12   711051132   317755482     6179579       90660362             5341804        320922    4896274   123880     164609     100
12   610292884   237847161     5092906       38211305             3320148        270520    1574208   87899      128965     100
12   1198369141  1123246627    14950044      92128429             5587529        441225    14607268  196849     380380     100
12   1632642237  1649383231    18662582      186936284            6497670        638046    16245190  343126     460710     100
12   1528291582  1591235044    17407554      209686520            8714867        687192    18715819  375163     488837     100
12   1137239754  956164165     13378140      141410929            7979616        630254    18501565  325678     566253     100
13   1374396367  1094722269    14805018      119315752            5062615        515026    9633803   340913     431424     100
13   1466273409  1241283169    8600326       132031891            7480334        451052    7212435   372141     344113     100
13   516045471   401867245     10768899      85175692             3204500        418109    6551727   294946     371395     100
13   492842764   283559255     7394671       52795736             2733891        312785    3071773   180344     163379     100
13   449500830   331163161     6554837       60656443             3579999        386711    2896935   185108     159973     100
13   411611957   118154033     3560494       18214490             1716846        179698    3301954   84660      127179     100
13   580044612   492586982     9474804       73184456             4233945        477295    3192963   152763     157896     100
13   979800592   346274892     10114315      53373799             3868214        516395    6545518   485385     430661     100
13   327416942   121403038     4600098       50165779             3198618        482974    5781861   184599     227558     100
13   681231813   289664958     9204976       52515847             3096406        390083    4922196   204248     298033     100
14   3741701956  3410938733    37378067      664232235            21260221       2654576   62046569  3351013    3644677    100
14   6007475340  5066170261    55110020      883051431            27090527       4112169   82051490  4131521    3551484    100
14   5366747907  3597772231    76048738      793306641            20215601       3565861   83837233  6256008    4850073    100
14   4743309680  3947546552    54755554      795145929            13024092       2045464   73867655  3005237    3164229    100
14   1485319839  3142106539    10571240      535593312            8279668        351470    16330772  243420     750369     100
14   5207495865  4271005043    26435462      738699029            14204952       574004    39562834  339753     3718526    100
14   1632011409  3075921693    8964597       414931214            7956407        846839    22201002  176131     569001     100
14   743883485   866010051     9311230       107729030            5143473        361361    17822542  200310     415603     100
14   1634264516  1448867835    16869410      183010743            8212155        626816    19397124  314435     577871     100
15   1461487531  708507136     15106769      109867835            6286972        567563    11889116  337355     475655     100
15   1602396554  1147551369    18779563      156211479            9856204        749177    11476466  330112     302433     100
15   815392217   549801787     9817641       78248059             4549621        447852    3679061   119180     164138     100
15   233078220   80790400      3236744       25210158             1896050        231778    3005155   106362     85795      100
15   387668420   386081846     7455582       28623149             2019047        267878    3269095   150977     164904     100
15   279745422   149367549     6481241       53766492             2722725        344164    3142544   146611     153432     100
15   1080236664  815669924     9951797       78449080             4049881        341314    6596345   148496     256662     100
15   767009815   588163144     16287676      83892036             5411411        634708    13116990  300064     404947     100
15   737519217   190986776     4508502       43820002             4442638        383742    2539159   150849     153803     100
15   625863497   226869063     5917947       43244346             4092349        406711    2181038   150937     123303     100
16   748844315   532460859     9735995       150124169            5003402        969958    6739306   220889     456456     100
16   1659100006  1837335699    23470113      255435761            13457626       1022277   16686063  906950     443731     100
16   968458324   468068253     12413527      115504110            6364736        613022    5931937   310153     262546     100
16   807401891   355341663     14693439      87122399             6400751        814746    10872319  370326     286152     100
16   846175563   540837632     14868162      85866248             4370754        717763    13023075  302638     492823     100
16   1073091650  1067519527    7555263       67983838             5555058        406961    6266806   143440     264171     100
16   1379196406  1238919886    13471260      194925806            7405934        476669    11576175  173984     285991     100
16   1067033146  824882131     8979161       69008088             3719618        325304    16924768  105284     335685     100
16   1125438280  1069146207    10267897      77345701             3356587        326384    13352028  87910      325876     100
16   1432225149  1496646963    22213605      224886607            9055091        1161411   29929378  418321     700846     100
17   2147562771  1455431328    28210104      211321099            9012260        1373137   28104993  223190     802075     100
17   3261395653  3993711654    23867349      334594469            12593582       814840    38109910  864658     991035     100
17   1503993075  1197432868    16303654      229314726            7351487        2096705   21959229  327951     754257     100
17   861802869   519194732     15398757      112842214            8149000        1008478   13584822  344103     568856     100
17   903953295   444539737     11411546      67846595             3371993        369182    3170733   171172     246486     100
17   167469748   75949170      3555728       18778328             1691681        241634    2349195   101120     124690     100
17   805233362   232168690     8562922       44377974             3475402        312822    3002135   135621     148247     100
17   326333586   122738579     4771928       27710390             2295639        252772    2562314   125100     154167     100
17   399233556   184662247     8048576       29190625             2296490        259846    2399125   108534     130962     100
17   263541505   158449912     5534117       35194991             2094371        265899    2323995   125875     102681     100
18   703448774   631622497     12358240      143633066            3020694        465930    37258777  130735     537127     100
18   1702433737  2533918459    21609455      288666484            11903093       1061695   14888318  879998     589972     100
18   608883595   323395225     5736321       69393635             3418890        452619    5878632   150580     366975     100
18   2045522627  1883519269    21903562      388769742            13845498       906985    25494790  343282     2093980    100
18   896344398   510554802     12485079      78919887             4696291        1002540   7683556   203679     402397     100
18   864313410   316560195     7371155       57340660             5947560        701088    10088348  291561     590669     100
18   934182942   799948971     14240484      134638072            5087648        1104477   9698388   212690     473641     100
18   1105456632  519121915     8884677       72780932             6617190        461207    3632576   125143     220517     100
18   1016651967  550496779     10274276      109074055            5332885        653972    5468954   139372     255412     100
