sec  cycles      instructions  cache-misses  branch-instructions  branch-misses  L1I_miss  L1D_miss   iTLB_miss  dTLB_miss  elapsed_ms
8    246320035   125595955     2224757       13272372             897364         104157    697630     20001      19768      100
8    121221674   38161833      959280        9459525              829434         86556     764935     70931      69943      100
8    157430897   64180449      1605484       9874107              870729         69291     562821     42908      39864      100
9    158522625   53435799      1666692       11872782             849972         73533     595813     19953      17387      100
9    142913523   91848710      3034494       20089772             1583738        182463    1658219    53699      52625      100
9    222921144   33475176      905406        7776089              889441         88798     1203001    66202      75798      100
9    143828902   50636024      1509903       10002145             945290         80829     816243     26573      28653      100
9    171330340   39619090      1412720       11512928             860135         102584    952644     29002      28277      100
9    127550397   32313322      1073549       7547790              836134         79750     791425     26017      24784      100
9    163983639   113612047     2263986       11785964             867662         96367     831058     31096      56818      100
9    134111021   110551887     2097420       11340325             1198159        137912    1025734    71464      50811      100
9    131604047   38440803      796618        9796488              739728         77647     729609     35268      52461      100
9    122538013   36249740      1028665       12754360             1060809        114681    1247924    40378      34074      100
10   148958369   51645850      1733721       7586717              819522         88192     618926     22866      29984      100
10   145557722   53921092      1864486       12568026             997048         98189     846509     31266      22375      100
10   161461001   47669380      1440767       11663110             956539         90633     1149827    47752      45974      100
10   117024117   30293344      893847        7891010              838095         82182     749090     31339      35722      100
10   120490128   107848238     2329224       11183377             926942         105749    754529     20935      30105      100
10   134253935   38079822      601723        6566405              727933         67238     666379     31569      26764      100
10   229933685   87713751      3442755       16631989             852553         82049     702138     14910      18019      100
10   150846357   37797512      1465357       7661318              1316927        157141    1398008    88065      75170      100
10   117626326   35468804      838953        7103895              782581         74768     631685     15963      44910      100
10   124419584   40130822      861763        7266013              804505         72971     617089     43455      34492      100
11   149800891   47139064      1298277       9943544              745374         69694     519085     6096       9431       100
11   130799480   37894587      913206        9879396              913426         93326     802196     33701      27782      100
11   273294991   104016952     7093797       47363936             3933211        423413    4701489    168579     129616     100
11   539462692   164040886     7913790       35275939             3141289        354164    2830128    236161     177371     100
11   528012459   305476321     9403335       64540132             3138114        392708    3184516    240616     152114     100
11   318135677   218321622     6674115       49694972             2696285        336697    2615910    187172     150052     100
11   244390636   70991237      3901914       18305288             1488329        200250    2112198    134470     134525     100
11   211919423   106218571     3186012       11919996             1447642        178412    1197338    120890     130089     100
11   131943583   48691231      1716631       15581982             1116246        118309    814797     28154      18096      100
11   118309003   27582230      767678        6772158              854874         101116    1079273    70154      71111      100
12   247196002   68966202      2238044       10536810             814810         84167     700034     28377      40323      100
12   802694256   681235105     7530710       101455969            3435517        301260    7540270    79799      70324      100
12   545240522   151764978     3565523       33091409             3200979        248535    2941657    79960      147187     100
12   147649413   79451030      1578608       12123262             901761         127373    1005044    54629      48039      100
12   165114502   60523496      3318588       24706514             1520396        211624    1964195    93982      83895      100
12   434577808   216023767     5694736       24068897             2134702        256955    1895661    157017     117226     100
12   233140842   136282881     6206608       26520923             1629655        255344    2331666    167751     211348     100
12   393882233   202841938     6295923       45102213             4496870        389687    2791160    212844     198135     100
12   318509628   90262895      4302231       21079864             1940947        194045    1480748    116649     139622     100
12   294006760   85615896      3547665       18711599             2005241        251513    2123644    194434     133938     100
13   256919179   130643061     5431936       22253519             1743042        192652    1235108    104066     100225     100
13   168903673   63125364      2945384       17172966             1570342        252702    2397517    168035     170215     100
13   183485220   67406833      4132998       18029343             1489031        193422    1923212    89731      79492      100
13   1777779784  1712465271    13039503      325074195            6293820        302349    22787897   259732     3331282    100
13   620127404   143372511     4246076       18553378             1337622        139676    1588878    133371     152353     100
13   173298291   57195444      2106156       12590018             1018758        103839    852832     57599      39980      100
13   145591763   51476037      2199038       15787859             1135082        175222    1237821    72313      87005      100
13   281667348   127399541     1178807       18456646             1531940        87041     655067     46934      41235      100
13   997944000   646740066     12361286      104431988            5046491        612988    7584511    308077     512563     100
13   127648896   41308655      1167058       12846258             1590929        172186    1285737    51119      59866      100
14   137230512   63017403      1727028       13415842             1493230        181550    1375542    70391      64084      100
14   139094352   34130665      865281        7017098              793774         70656     659340     24995      29611      100
14   138245182   51550901      1506595       9421026              823847         94225     935575     43684      27513      100
14   173181212   61586460      2902310       11143180             969617         85293     830039     16350      21799      100
14   299132846   112485275     4971951       21978948             1888174        279479    3767118    253920     251085     100
14   426050058   465249975     8949861       96071333             3665346        383922    6327298    194465     180066     100
14   1915916736  1612959708    18868713      152900802            5878330        910944    12228297   585758     635140     100
14   953660840   812044676     10006517      78714041             4709513        359593    23236125   315599     620107     100
14   952210002   596402365     10601689      75230683             4948322        425525    7497306    205881     281682     100
14   782097940   380766726     10052973      48811909             2843910        401231    3476289    258736     237797     100
15   2201543121  1672015621    9596741       157038234            10180491       779860    11114016   408189     378329     100
15   792692191   356361106     9106456       56849748             4428976        390078    2830081    151078     212429     100
15   518894595   419068499     7213619       48592187             3179533        411105    6885710    203791     218096     100
15   683691707   186997549     5790031       33704162             3363874        275918    1843081    57725      92978      100
15   132774009   44514200      1491615       10756193             871516         102425    829149     48469      43714      100
15   174930609   54464124      2096647       13544012             1170378        188981    1531271    92622      63812      100
15   184793490   52211045      2040243       10635388             1226509        187732    1647029    174980     155958     100
15   197860305   85252572      3878022       23556537             2911399        230459    1662024    58775      46189      100
15   2492913483  2686568575    6298560       212776892            11691488       868417    9847973    1004154    76774      100
15   145457700   50116020      1959866       17384063             1513124        158759    1615332    78152      46049      100
16   129283436   37993116      1039178       7538827              739132         66192     1578280    44526      64353      100
16   134394816   38905036      976507        7704240              841679         79459     628017     16856      6716       100
16   259230704   117493589     2678147       14016786             978626         98236     697661     31787      25599      100
16   138553157   86158992      4541738       20778767             1635626        230519    1636295    95432      88668      100
16   551988883   618235334     11383280      68762531             3016018        345521    5805944    257946     225729     100
16   4503880983  5819885853    12884986      471206314            26497926       1928356   31734966   2866231    645613     100
16   1139029142  1216877417    13595883      164241918            5459768        528971    14808059   231560     304038     100
16   1052209459  590682232     12966290      123632332            6564416        571505    12439864   271051     353331     100
16   842198377   861731541     12048434      113966467            5844211        700828    8546755    466058     284081     100
16   1030878546  565627646     6812542       66264870             4498441        378145    2611608    190117     186516     100
17   596257034   345533463     9235405       60461022             4847361        393654    1658441    43582      55365      100
17   1027568846  367991479     7424950       78272021             7310633        879230    12292352   896278     837192     100
17   1620447847  1359501493    16904208      305985778            7052095        1320505   15027181   790050     635952     100
17   878435934   436050616     10437035      89977134             4451763        519111    5508696    234149     193772     100
17   868475356   356468650     10807772      72171581             4621033        556687    5334118    238316     237586     100
17   1365959344  1153483590    13742305      195144097            6281833        369827    19243421   282075     2258491    100
17   132133681   42193927      1368589       8246472              955283         85910     755827     26657      25093      100
17   356757790   272499442     6475413       45937438             2998268        164798    1277934    36840      25065      100
17   135928908   49565006      2862795       16872508             1420487        153578    1204196    54360      42229      100
18   119935194   31530444      796155        6741692              766224         73903     849618     27214      35094      100
18   128797408   48096144      602526        8369236              896588         116178    1040208    75108      65700      100
18   126431148   35617628      926663        6877688              692554         57506     671195     26532      31019      100
18   260162705   132845930     2011112       33641483             2848377        188373    1207832    51068      36065      100
18   142225046   53604248      2070027       10982497             1021070        87586     892065     24830      31587      100
18   123924799   38105013      786176        7095291              877585         76787     748423     38778      49699      100
18   161823979   54019466      2661711       14228619             1152809        116080    1025948    25810      24828      100
18   295051217   246097853     3891684       47848116             3503910        151394    6229058    98894      118217     100
18   204751389   87128655      4090424       32716366             1886280        267868    2971332    173727     199950     100
18   262376814   103232471     5171906       24444161             2142732        242309    3798300    168129     166316     100
19   195205974   109227488     3526006       17598669             1295109        148505    964147     72108      54613      100
19   179772591   66769112      2713241       16184728             1324610        166208    2623677    130095     135243     100
19   171125255   64351890      2554491       15198291             1217005        134544    1253849    58939      55099      100
19   263805891   148270142     4513647       40175559             3022527        238714    1725136    68191      42497      100
19   483022752   377417715     8345098       60300664             3189125        639640    8442083    289004     339813     100
19   174963819   57710356      2387691       10308303             1076002        111353    1047449    61103      62510      100
19   178084493   65291544      3393111       18652055             1708229        193096    1491732    109432     97895      100
19   158491316   40811762      1066113       16991510             1941743        233973    2107225    94823      57080      100
19   207784992   132683400     1870754       16914798             889765         107337    967790     41330      33411      100
19   123428160   32704655      690804        9549822              784823         81091     838559     53999      41547      100
20   264271179   84405230      4140287       19972334             1923730        253990    2964018    138275     125708     100
20   153323832   37519756      939383        8836114              914708         77388     663198     32010      19667      100
20   118244268   68656177      3064054       20495240             1015860        133854    1234843    45967      31868      100
20   178100571   79761479      1068475       17319666             1552752        98045     726312     53479      55423      100
20   141601448   38915479      1059601       7952071              903396         93741     839885     25949      26567      100
