Linux 6.8.0-59-generic (superlzx) 	2025年05月16日 	_x86_64_	(16 CPU)

15时39分37秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
15时49分12秒     all      0.58      0.00      0.70      0.00      0.00     98.72
15时49分13秒     all      0.39      0.00      0.26      0.00      0.00     99.36
15时49分14秒     all      1.79      0.00      0.83      0.51      0.00     96.87
15时49分15秒     all      0.64      0.00      0.32      0.00      0.00     99.03
15时49分16秒     all      0.38      0.00      0.38      0.00      0.00     99.23
15时49分17秒     all      0.77      0.00      0.77      0.00      0.00     98.46
15时49分18秒     all      4.51      0.00      5.95      0.00      0.00     89.54
15时49分19秒     all      1.61      0.00      3.28      0.00      0.00     95.12
15时49分20秒     all      1.80      0.00      2.18      0.00      0.00     96.02
15时49分21秒     all      1.04      0.00      2.41      0.00      0.00     96.54
15时49分22秒     all      0.91      0.00      1.89      0.00      0.00     97.20
15时49分23秒     all      0.77      0.00      1.48      0.06      0.00     97.68
15时49分24秒     all      2.15      0.00      2.15      0.00      0.00     95.71
15时49分25秒     all      1.62      0.00      2.08      0.00      0.00     96.30
15时49分26秒     all      0.71      0.00      1.48      0.00      0.00     97.81
15时49分27秒     all      1.11      0.00      2.21      0.00      0.00     96.68
15时49分28秒     all      4.08      0.00      3.69      0.19      0.00     92.03
15时49分29秒     all      1.23      0.00      1.88      0.06      0.00     96.82
15时49分30秒     all      1.30      0.00      2.14      0.00      0.00     96.56
15时49分31秒     all      0.98      0.00      1.95      0.00      0.00     97.07
15时49分32秒     all      0.45      0.00      1.49      0.00      0.00     98.06
15时49分33秒     all      1.11      0.00      1.89      0.00      0.00     97.01
15时49分34秒     all      0.78      0.00      1.42      0.00      0.00     97.80
15时49分35秒     all      1.04      0.00      2.40      0.00      0.00     96.56
15时49分36秒     all      2.60      0.00      2.08      0.00      0.00     95.31
15时49分37秒     all      0.78      0.00      1.62      0.00      0.00     97.61
15时49分38秒     all      1.17      0.00      2.46      0.00      0.00     96.37
15时49分39秒     all      1.04      0.00      1.76      0.52      0.00     96.67
15时49分40秒     all      1.37      0.00      2.41      0.00      0.00     96.23
15时49分41秒     all      3.31      0.00      4.80      0.00      0.00     91.89
15时49分42秒     all      1.17      0.00      2.93      0.00      0.00     95.90
15时49分43秒     all      1.03      0.00      1.75      0.00      0.00     97.22
15时49分44秒     all      2.60      0.00      2.15      0.00      0.00     95.25
15时49分45秒     all      0.90      0.00      1.61      0.00      0.00     97.48
15时49分46秒     all      1.10      0.00      2.47      0.00      0.00     96.43
15时49分47秒     all      5.81      0.00      3.59      0.00      0.00     90.61
15时49分48秒     all      4.05      0.00      3.66      0.00      0.00     92.30
15时49分49秒     all      1.36      0.00      2.34      0.45      0.00     95.85
15时49分50秒     all      0.91      0.00      2.27      0.00      0.00     96.82
15时49分51秒     all      0.97      0.00      1.88      0.00      0.00     97.15
15时49分52秒     all      1.82      0.00      2.40      0.00      0.00     95.78
15时49分53秒     all      3.20      0.00      2.22      0.00      0.00     94.58
15时49分54秒     all      1.10      0.00      1.62      0.52      0.00     96.77
15时49分55秒     all      1.04      0.00      2.21      0.00      0.00     96.75
15时49分56秒     all      1.30      0.00      2.21      0.00      0.00     96.50
15时49分57秒     all      0.45      0.00      1.42      0.00      0.00     98.12
15时49分58秒     all      1.16      0.00      2.07      0.00      0.00     96.77
15时49分59秒     all      0.91      0.00      1.95      1.11      0.00     96.03
15时50分00秒     all      0.65      0.00      1.62      0.00      0.00     97.74
15时50分01秒     all      1.30      0.00      2.21      0.00      0.00     96.49
15时50分02秒     all      0.97      0.00      2.01      0.00      0.00     97.01
15时50分03秒     all      0.84      0.00      1.36      0.00      0.00     97.80
15时50分04秒     all      2.59      0.00      2.33      0.00      0.00     95.08
15时50分05秒     all      0.98      0.00      2.08      0.00      0.00     96.94
15时50分06秒     all      3.47      0.00      4.19      0.07      0.00     92.27
15时50分07秒     all      1.17      0.00      2.14      0.06      0.00     96.63
15时50分08秒     all      0.52      0.00      1.55      0.00      0.00     97.93
15时50分09秒     all      1.04      0.00      2.08      0.00      0.00     96.88
15时50分10秒     all      1.30      0.00      1.76      0.00      0.00     96.94
15时50分11秒     all      0.52      0.00      1.62      0.00      0.00     97.86
15时50分12秒     all      2.60      0.00      2.08      0.07      0.00     95.25
15时50分13秒     all      1.04      0.00      1.76      0.00      0.00     97.19
15时50分14秒     all      0.65      0.00      1.68      0.00      0.00     97.67
15时50分15秒     all      0.98      0.00      2.02      0.00      0.00     97.01
15时50分16秒     all      1.17      0.00      2.01      0.00      0.00     96.82
15时50分17秒     all      0.58      0.00      1.61      0.00      0.00     97.80
15时50分18秒     all      1.17      0.00      2.14      0.58      0.00     96.10
15时50分19秒     all      1.04      0.00      1.95      0.00      0.00     97.00
15时50分20秒     all      0.84      0.00      1.88      0.00      0.00     97.28
15时50分21秒     all      0.97      0.00      2.08      0.00      0.00     96.95
15时50分22秒     all      4.50      0.00      3.60      0.00      0.00     91.91
15时50分23秒     all      0.90      0.00      1.87      0.06      0.00     97.16
15时50分24秒     all      1.04      0.00      2.14      0.19      0.00     96.63
15时50分25秒     all      1.30      0.00      2.27      0.00      0.00     96.43
15时50分26秒     all      0.52      0.00      1.37      0.00      0.00     98.11
15时50分27秒     all      1.10      0.00      2.19      0.13      0.00     96.58
15时50分28秒     all      6.09      0.00      4.15      0.00      0.00     89.77
15时50分29秒     all      1.23      0.00      1.95      0.71      0.00     96.11
15时50分30秒     all      0.91      0.00      2.01      0.06      0.00     97.02
15时50分31秒     all      1.91      0.00      3.23      0.00      0.00     94.87
15时50分32秒     all      0.78      0.00      1.62      0.13      0.00     97.47
15时50分33秒     all      1.42      0.00      2.20      0.00      0.00     96.37
15时50分34秒     all      0.71      0.00      1.23      0.71      0.00     97.35
15时50分35秒     all      1.10      0.00      1.81      0.00      0.00     97.09
15时50分36秒     all      1.55      0.00      2.26      0.00      0.00     96.19
15时50分37秒     all      3.43      0.00      3.76      0.00      0.00     92.81
15时50分38秒     all      1.97      0.00      3.21      0.72      0.00     94.10
15时50分39秒     all      4.78      0.00      5.12      0.00      0.00     90.10
15时50分40秒     all      1.26      0.00      2.52      0.00      0.00     96.23
15时50分41秒     all      2.74      0.00      3.52      0.00      0.00     93.75
15时50分42秒     all      3.02      0.00      2.70      0.00      0.00     94.28
15时50分43秒     all      0.97      0.00      2.26      1.81      0.00     94.97
15时50分44秒     all      1.75      0.00      2.79      0.00      0.00     95.46
15时50分45秒     all      1.04      0.00      1.69      0.13      0.00     97.13
15时50分46秒     all      1.40      0.00      3.06      0.00      0.00     95.54
15时50分47秒     all      4.11      0.26      3.98      0.78      0.00     90.87
15时50分48秒     all      6.49      0.00      4.09      0.00      0.00     89.43
15时50分49秒     all      1.92      0.00      1.03      0.00      0.00     97.05
15时50分50秒     all      0.38      0.00      0.38      0.00      0.00     99.23
15时50分51秒     all      0.83      0.00      0.90      0.00      0.00     98.27
15时50分52秒     all      0.64      0.00      0.90      0.45      0.00     98.02
15时50分53秒     all      0.39      0.00      0.26      0.00      0.00     99.36
15时50分54秒     all      0.39      0.00      0.58      0.00      0.00     99.04
15时50分55秒     all      4.66      0.06      2.10      0.32      0.00     92.86
15时50分56秒     all      1.28      0.00      0.45      0.00      0.00     98.27
15时50分57秒     all      3.19      0.00      1.85      0.64      0.00     94.31
15时50分58秒     all      4.41      0.13      2.55      0.00      0.00     92.91
15时50分59秒     all      0.51      0.00      0.51      0.00      0.00     98.97
15时51分00秒     all      0.32      0.00      0.39      0.00      0.00     99.29
15时51分01秒     all      0.58      0.00      0.58      0.00      0.00     98.85
15时51分02秒     all      0.51      0.00      0.38      0.00      0.00     99.10
15时51分03秒     all      0.32      0.00      0.58      0.00      0.00     99.10
15时51分04秒     all      2.56      0.00      3.64      0.00      0.00     93.80
15时51分05秒     all     11.70      0.00      5.66      0.13      0.00     82.51
15时51分06秒     all      6.45      0.00      6.12      0.00      0.00     87.43
15时51分07秒     all      4.70      0.00      5.94      0.00      0.00     89.36
15时51分08秒     all      1.60      0.00      2.81      0.00      0.00     95.59
15时51分09秒     all      1.29      0.00      2.39      0.00      0.00     96.32
15时51分10秒     all      1.56      0.00      2.73      0.00      0.00     95.71
15时51分11秒     all      1.11      0.00      2.34      0.20      0.00     96.36
15时51分12秒     all      5.50      0.00      5.82      0.00      0.00     88.69
15时51分13秒     all      5.10      0.13      5.61      0.32      0.00     88.84
15时51分14秒     all      6.99      0.13      5.91      0.25      0.00     86.71
15时51分15秒     all      5.07      0.00      3.85      0.00      0.00     91.08
15时51分16秒     all      4.09      0.00      3.05      0.00      0.00     92.86
15时51分17秒     all      3.22      0.00      3.42      0.00      0.00     93.36
15时51分18秒     all      1.86      0.00      2.25      0.00      0.00     95.89
15时51分19秒     all      1.55      0.00      3.17      0.13      0.00     95.15
15时51分20秒     all      0.91      0.00      1.96      0.72      0.00     96.41
15时51分21秒     all      1.23      0.00      2.21      0.84      0.00     95.71
15时51分22秒     all      6.67      0.00      4.34      0.00      0.00     88.99
15时51分23秒     all      4.27      0.13      4.27      0.13      0.00     91.20
15时51分24秒     all      5.35      0.13      4.17      0.07      0.00     90.29
15时51分25秒     all      4.98      0.00      3.67      0.00      0.00     91.34
15时51分26秒     all      0.86      0.00      2.44      0.00      0.00     96.71
15时51分27秒     all      1.43      0.00      1.89      0.00      0.00     96.68
15时51分28秒     all      6.84      0.00      4.04      0.07      0.00     89.06
15时51分29秒     all      1.05      0.00      2.29      0.07      0.00     96.60
15时51分30秒     all      2.19      0.00      3.64      0.00      0.00     94.17
15时51分31秒     all      1.63      0.00      1.82      0.00      0.00     96.55
15时51分32秒     all      7.34      0.00      4.30      0.00      0.00     88.37
15时51分33秒     all      2.22      0.00      3.59      0.00      0.00     94.19
15时51分34秒     all      3.70      0.00      4.37      0.00      0.00     91.93
15时51分35秒     all      7.12      0.00      5.03      0.39      0.00     87.46
15时51分36秒     all      1.18      0.00      2.49      0.00      0.00     96.34
15时51分37秒     all      0.84      0.00      2.27      0.00      0.00     96.88
15时51分38秒     all      5.41      0.00      4.02      0.00      0.00     90.57
15时51分39秒     all      1.40      0.00      3.26      0.00      0.00     95.34
15时51分40秒     all      0.98      0.00      2.41      0.00      0.00     96.61
15时51分41秒     all      2.59      0.00      2.84      0.58      0.00     93.99
15时51分42秒     all      5.70      0.00      4.33      5.37      0.00     84.60
15时51分43秒     all      2.96      0.00      4.47      5.92      0.00     86.64
15时51分44秒     all      1.76      0.00      3.77      5.59      0.00     88.88
15时51分45秒     all      0.91      0.00      2.79      5.84      0.00     90.45
15时51分46秒     all      1.31      0.00      2.81      5.82      0.00     90.07
15时51分47秒     all      2.75      0.00      3.59      5.62      0.00     88.04
15时51分48秒     all      1.10      0.00      2.59      5.95      0.00     90.36
15时51分49秒     all      1.76      0.00      3.32      5.48      0.00     89.44
15时51分50秒     all      1.77      0.00      2.62      5.63      0.00     89.99
15时51分51秒     all      7.25      0.13      6.19      5.47      0.00     80.96
15时51分52秒     all     13.23      0.00     10.63      5.15      0.00     70.99
15时51分53秒     all      3.44      0.00      5.42      5.09      0.00     86.04
15时51分54秒     all      1.56      0.00      3.12      5.73      0.00     89.58
15时51分55秒     all      1.57      0.00      3.07      5.68      0.00     89.69
15时51分56秒     all      2.16      0.00      4.39      5.83      0.00     87.62
15时51分57秒     all      3.85      0.00      3.98      5.74      0.00     86.43
15时51分58秒     all      2.23      0.00      4.32      5.89      0.00     87.57
15时51分59秒     all      3.94      0.00      4.98      5.56      0.00     85.52
15时52分00秒     all      1.62      0.00      2.91      5.96      0.00     89.51
15时52分01秒     all      5.57      0.13      4.79      5.44      0.00     84.07
15时52分02秒     all      5.98      0.00      4.16      5.72      0.00     84.15
15时52分03秒     all      0.84      0.00      2.60      5.78      0.00     90.78
15时52分04秒     all      1.68      0.00      3.94      5.30      0.00     89.08
15时52分05秒     all      3.19      0.00      3.12      5.86      0.00     87.83
15时52分06秒     all      0.78      0.00      2.53      5.78      0.00     90.90
15时52分07秒     all      0.98      0.00      3.12      5.86      0.00     90.05
15时52分08秒     all      0.98      0.00      2.67      5.80      0.00     90.55
15时52分09秒     all      5.32      0.00      4.87      5.58      0.00     84.23
15时52分10秒     all      3.32      0.00      3.06      5.60      0.00     88.03
15时52分11秒     all      0.78      0.00      2.53      5.78      0.00     90.91
15时52分12秒     all      1.24      0.00      2.68      5.68      0.00     90.40
15时52分13秒     all      2.53      0.00      3.56      5.76      0.00     88.15
15时52分14秒     all      0.65      0.00      2.67      6.00      0.00     90.67
15时52分15秒     all      1.04      0.00      2.67      5.73      0.00     90.56
15时52分16秒     all      1.30      0.00      4.04      5.53      0.00     89.13
15时52分17秒     all      2.41      0.00      2.87      5.73      0.00     88.99
15时52分18秒     all      2.01      0.00      2.86      5.72      0.00     89.41
15时52分19秒     all      4.85      0.00      4.08      5.69      0.00     85.38
15时52分20秒     all      0.98      0.00      2.62      5.50      0.00     90.90
15时52分21秒     all      2.72      0.00      2.72      5.70      0.00     88.85
15时52分22秒     all      1.30      0.00      3.12      5.66      0.00     89.91
15时52分23秒     all      0.72      0.00      2.67      5.80      0.00     90.81
15时52分24秒     all      3.06      0.00      2.80      5.53      0.00     88.61
15时52分25秒     all      4.56      0.00      4.04      5.53      0.00     85.87
15时52分26秒     all      1.10      0.00      3.11      5.63      0.00     90.16
15时52分27秒     all      1.04      0.00      3.56      5.24      0.00     90.16
15时52分28秒     all      5.99      0.00      5.01      5.73      0.00     83.28
15时52分29秒     all      1.30      0.00      3.19      5.67      0.00     89.84
15时52分30秒     all      1.49      0.00      2.66      5.51      0.00     90.34
15时52分31秒     all      3.39      0.00      3.00      5.93      0.00     87.68
15时52分32秒     all      1.17      0.00      3.05      5.84      0.00     89.94
15时52分33秒     all      1.50      0.00      3.12      5.66      0.00     89.73
15时52分34秒     all      2.52      0.00      3.64      5.63      0.00     88.21
15时52分35秒     all      2.75      0.00      3.53      5.56      0.00     88.16
15时52分36秒     all      1.44      0.00      4.07      5.84      0.00     88.64
15时52分37秒     all      1.90      0.00      3.87      5.64      0.00     88.59
15时52分38秒     all      3.24      0.00      4.02      5.19      0.00     87.54
15时52分39秒     all      1.43      0.00      2.92      5.72      0.00     89.93
15时52分40秒     all      1.04      0.00      2.87      5.99      0.00     90.10
15时52分41秒     all      3.56      0.00      3.89      5.18      0.00     87.37
15时52分42秒     all      2.41      0.00      3.26      0.00      0.00     94.33
15时52分43秒     all      0.91      0.00      1.81      0.00      0.00     97.28
15时52分44秒     all      2.52      0.00      2.52      0.00      0.00     94.96
15时52分45秒     all      0.72      0.00      1.63      0.00      0.00     97.66
15时52分46秒     all      1.10      0.00      2.00      0.06      0.00     96.84
15时52分47秒     all      1.04      0.00      1.76      0.00      0.00     97.20
15时52分48秒     all      2.20      0.00      1.94      0.00      0.00     95.85
15时52分49秒     all      0.91      0.00      2.14      0.00      0.00     96.95
15时52分50秒     all      1.11      0.00      2.08      0.00      0.00     96.81
15时52分51秒     all      3.75      0.00      3.49      0.06      0.00     92.70
15时52分52秒     all      3.05      0.00      2.79      0.00      0.00     94.16
15时52分53秒     all      1.04      0.00      1.82      0.00      0.00     97.14
15时52分54秒     all      0.71      0.00      1.69      0.00      0.00     97.60
15时52分55秒     all      2.67      0.00      1.76      0.00      0.00     95.57
15时52分56秒     all      1.36      0.00      2.33      0.06      0.00     96.25
15时52分57秒     all      4.67      0.00      4.22      0.00      0.00     91.11
15时52分58秒     all      6.13      0.00      3.68      0.00      0.00     90.19
15时52分59秒     all      5.10      0.00      3.29      0.00      0.00     91.60
15时53分00秒     all      0.78      0.00      1.62      0.00      0.00     97.60
15时53分01秒     all      0.78      0.00      1.94      0.00      0.00     97.28
15时53分02秒     all      4.41      0.00      3.43      0.19      0.00     91.96
15时53分03秒     all      2.73      0.00      2.47      0.13      0.00     94.67
15时53分04秒     all      1.29      0.00      1.68      0.00      0.00     97.03
15时53分05秒     all      2.67      0.00      2.02      0.00      0.00     95.32
15时53分06秒     all      0.52      0.00      1.88      0.00      0.00     97.60
15时53分07秒     all      0.97      0.00      2.21      0.00      0.00     96.82
15时53分08秒     all      0.52      0.00      1.49      0.06      0.00     97.92
15时53分09秒     all      6.58      0.00      3.87      0.00      0.00     89.55
15时53分10秒     all      1.04      0.00      2.28      0.00      0.00     96.68
15时53分11秒     all      0.65      0.00      1.56      0.19      0.00     97.60
15时53分12秒     all      2.65      0.00      2.13      0.00      0.00     95.22
15时53分13秒     all      1.10      0.00      2.08      0.13      0.00     96.69
15时53分14秒     all      0.58      0.00      1.94      0.00      0.00     97.47
15时53分15秒     all      2.46      0.00      1.95      0.00      0.00     95.59
15时53分16秒     all      1.17      0.00      2.07      0.00      0.00     96.76
15时53分17秒     all      2.27      0.00      2.79      0.00      0.00     94.94
15时53分18秒     all      4.99      0.00      2.46      0.06      0.00     92.49
15时53分19秒     all      1.17      0.00      2.53      0.00      0.00     96.30
15时53分20秒     all      0.78      0.00      1.62      0.26      0.00     97.34
15时53分21秒     all      2.70      0.00      1.93      0.00      0.00     95.36
15时53分22秒     all      1.17      0.00      2.27      0.00      0.00     96.56
15时53分23秒     all      0.58      0.00      2.01      0.00      0.00     97.40
15时53分24秒     all      2.27      0.00      1.82      0.00      0.00     95.91
15时53分25秒     all      1.36      0.00      1.94      0.00      0.00     96.70
15时53分26秒     all      0.58      0.00      2.08      0.58      0.00     96.75
15时53分27秒     all      2.58      0.00      1.68      0.00      0.00     95.74
15时53分28秒     all      4.66      0.00      3.56      0.00      0.00     91.78
15时53分29秒     all      1.05      0.00      2.22      0.00      0.00     96.73
15时53分30秒     all      2.78      0.00      1.87      0.00      0.00     95.35
15时53分31秒     all      1.04      0.00      2.21      0.13      0.00     96.62
15时53分32秒     all      0.65      0.00      2.08      0.00      0.00     97.27
15时53分33秒     all      2.65      0.00      1.49      0.00      0.00     95.86
15时53分34秒     all      0.59      0.00      2.21      0.00      0.00     97.20
15时53分35秒     all      1.03      0.00      1.55      0.00      0.00     97.42
15时53分36秒     all      2.60      0.00      2.34      0.52      0.00     94.54
15时53分37秒     all      0.78      0.00      2.02      0.00      0.00     97.20
15时53分38秒     all      1.03      0.00      1.67      0.00      0.00     97.30
15时53分39秒     all      2.60      0.00      2.34      0.00      0.00     95.05
15时53分40秒     all      0.78      0.00      2.08      0.00      0.00     97.15
15时53分41秒     all      2.84      0.00      2.52      0.58      0.00     94.06
15时53分42秒     all     28.88      0.00      3.42      0.00      0.00     67.70
15时53分43秒     all     26.56      0.00      2.19      0.00      0.00     71.24
15时53分44秒     all     26.67      0.00      2.18      0.00      0.00     71.15
15时53分45秒     all     26.46      0.00      1.80      0.00      0.00     71.73
15时53分46秒     all     28.75      0.00      2.37      0.19      0.00     68.69
15时53分47秒     all     26.87      0.00      2.13      0.00      0.00     71.01
15时53分48秒     all     26.27      0.00      2.06      0.00      0.00     71.67
15时53分49秒     all     28.48      0.00      2.12      0.00      0.00     69.40
15时53分50秒     all     26.86      0.00      2.26      0.00      0.00     70.88
15时53分51秒     all     27.85      0.00      2.78      0.00      0.00     69.37
15时53分52秒     all     30.81      0.00      3.81      0.00      0.00     65.37
15时53分53秒     all     26.55      0.00      1.02      0.00      0.00     72.43
15时53分54秒     all     25.72      0.00      0.25      0.00      0.00     74.03
15时53分55秒     all     27.83      0.00      0.70      0.06      0.00     71.41
15时53分56秒     all     25.81      0.00      0.51      0.06      0.00     73.62
15时53分57秒     all     25.73      0.00      0.25      0.00      0.00     74.02
15时53分58秒     all     29.42      0.00      1.90      0.00      0.00     68.67
15时53分59秒     all     28.56      0.00      2.10      0.00      0.00     69.34
15时54分00秒     all     28.25      0.00      1.14      0.00      0.00     70.61
15时54分01秒     all     27.65      0.00      0.45      0.06      0.00     71.84
15时54分02秒     all     25.97      0.00      0.76      0.00      0.00     73.27
15时54分03秒     all     25.64      0.00      0.19      0.00      0.00     74.17
15时54分04秒     all     27.65      0.00      0.82      0.00      0.00     71.53
15时54分05秒     all     25.81      0.00      0.25      0.00      0.00     73.93
15时54分06秒     all     25.67      0.00      0.32      0.19      0.00     73.83
15时54分07秒     all     27.54      0.00      0.57      0.00      0.00     71.88
15时54分08秒     all     25.79      0.00      0.13      0.00      0.00     74.08
15时54分09秒     all     26.67      0.00      1.40      0.00      0.00     71.93
15时54分10秒     all     30.66      0.00      1.39      0.00      0.00     67.95
15时54分11秒     all     25.75      0.00      0.19      0.13      0.00     73.94
15时54分12秒     all     25.59      0.00      0.64      0.00      0.00     73.77
15时54分13秒     all     28.04      0.00      0.76      0.00      0.00     71.20
15时54分14秒     all     25.59      0.00      0.25      0.00      0.00     74.16
15时54分15秒     all     25.86      0.00      0.57      0.00      0.00     73.57
15时54分16秒     all     27.58      0.00      0.45      0.51      0.00     71.46
15时54分17秒     all     25.62      0.00      0.32      0.00      0.00     74.06
15时54分18秒     all     25.92      0.00      0.32      0.00      0.00     73.76
15时54分19秒     all     27.57      0.00      0.76      0.00      0.00     71.67
15时54分20秒     all     25.71      0.00      0.32      0.25      0.00     73.71
15时54分21秒     all     25.68      0.00      0.45      0.00      0.00     73.87
15时54分22秒     all     27.87      0.00      0.63      0.00      0.00     71.50
15时54分23秒     all     25.59      0.00      0.25      0.00      0.00     74.16
15时54分24秒     all     25.78      0.00      0.51      0.00      0.00     73.71
15时54分25秒     all     28.06      0.00      0.70      0.00      0.00     71.24
15时54分26秒     all     26.44      0.00      0.32      0.57      0.00     72.67
15时54分27秒     all     25.76      0.00      0.57      0.00      0.00     73.66
15时54分28秒     all     30.99      0.00      2.09      0.00      0.00     66.92
15时54分29秒     all     26.43      0.00      0.51      0.00      0.00     73.06
15时54分30秒     all     26.06      0.00      0.70      0.00      0.00     73.24
15时54分31秒     all     27.64      0.00      0.76      0.00      0.00     71.60
15时54分32秒     all     25.71      0.00      0.25      0.00      0.00     74.03
15时54分33秒     all     25.81      0.00      0.51      0.00      0.00     73.68
15时54分34秒     all     25.78      0.00      0.13      0.00      0.00     74.09
15时54分35秒     all     27.58      0.00      0.70      0.00      0.00     71.72
15时54分36秒     all     25.76      0.00      0.63      0.32      0.00     73.29
15时54分37秒     all     25.73      0.00      0.51      0.00      0.00     73.76
15时54分38秒     all     27.61      0.00      0.51      0.00      0.00     71.88
15时54分39秒     all     25.89      0.00      0.70      0.00      0.00     73.42
15时54分40秒     all     25.86      0.00      0.19      0.00      0.00     73.95
15时54分41秒     all     26.92      0.00      1.46      0.13      0.00     71.50
15时54分42秒     all     29.31      0.00     15.43     19.30      0.00     35.96
15时54分43秒     all     34.04      0.00      8.11     18.73      0.00     39.12
15时54分44秒     all     36.01      0.00      7.00     18.26      0.00     38.74
15时54分45秒     all     32.38      0.00      7.32     19.53      0.00     40.78
15时54分46秒     all     37.58      0.00      3.25     18.09      0.00     41.08
15时54分47秒     all     42.08      0.00      4.77     17.95      0.00     35.20
15时54分48秒     all     42.11      0.00      4.13     19.85      0.00     33.91
15时54分49秒     all     32.23      0.00     10.47     18.15      0.00     39.15
15时54分50秒     all     29.82      0.00     12.46     18.25      0.00     39.48
15时54分51秒     all     30.96      0.00      9.15     18.82      0.00     41.07
15时54分52秒     all     35.01      0.00      6.11     18.46      0.00     40.42
15时54分53秒     all     37.62      0.00      4.52     18.52      0.00     39.34
15时54分54秒     all     28.96      0.00     10.18     20.69      0.00     40.17
15时54分55秒     all     30.79      0.00      9.21     19.05      0.00     40.95
15时54分56秒     all     34.52      0.00      8.22     17.58      0.00     39.68
15时54分57秒     all     31.59      0.00      8.22     18.66      0.00     41.53
15时54分58秒     all     33.86      0.00      6.48     17.79      0.00     41.87
15时54分59秒     all     33.42      0.00      8.69     18.58      0.00     39.32
15时55分00秒     all     36.90      0.00      2.86     18.07      0.00     42.18
15时55分01秒     all     32.48      0.00      7.79     19.02      0.00     40.71
15时55分02秒     all     38.15      0.00      4.33     18.54      0.00     38.98
15时55分03秒     all     30.55      0.00      9.29     18.52      0.00     41.63
15时55分04秒     all     35.17      0.00     10.37     17.58      0.00     36.88
15时55分05秒     all     36.32      0.00      7.57     17.49      0.00     38.61
15时55分06秒     all     29.25      0.00      9.82     20.71      0.00     40.22
15时55分07秒     all     30.56      0.00      9.51     19.40      0.00     40.52
15时55分08秒     all     34.73      0.00      4.83     18.70      0.00     41.73
15时55分09秒     all     39.39      0.00      2.92     18.30      0.00     39.39
15时55分10秒     all     35.31      0.00      5.04     19.28      0.00     40.36
15时55分11秒     all     38.55      0.00      1.21     18.64      0.00     41.60
15时55分12秒     all     40.58      0.00      1.59     18.26      0.00     39.57
15时55分13秒     all     38.65      0.00      1.72     17.86      0.00     41.77
15时55分14秒     all     35.18      0.00      4.53     19.38      0.00     40.92
15时55分15秒     all     40.79      0.00      1.58     18.49      0.00     39.14
15时55分16秒     all     38.59      0.00      1.84     17.74      0.00     41.83
15时55分17秒     all     36.93      0.00      2.61     18.11      0.00     42.35
15时55分18秒     all     38.70      0.00      3.45     18.71      0.00     39.14
15时55分19秒     all     38.03      0.00      2.73     19.24      0.00     40.00
15时55分20秒     all     38.37      0.00      1.46     19.44      0.00     40.72
15时55分21秒     all     34.41      0.00      7.29     19.20      0.00     39.10
15时55分22秒     all     32.13      0.00      7.94     19.11      0.00     40.83
15时55分23秒     all     35.56      0.00      4.21     18.80      0.00     41.43
15时55分24秒     all     39.75      0.00      3.11     18.10      0.00     39.05
15时55分25秒     all     36.39      0.00      4.77     17.37      0.00     41.48
15时55分26秒     all     39.01      0.00      1.08     17.14      0.00     42.77
15时55分27秒     all     41.46      0.00      2.10     16.44      0.00     40.00
15时55分28秒     all     42.36      0.00      3.51     17.89      0.00     36.23
15时55分29秒     all     40.89      0.00      2.10     18.03      0.00     38.98
15时55分30秒     all     42.71      0.00      1.85     16.61      0.00     38.83
15时55分31秒     all     39.68      0.00      1.46     17.39      0.00     41.46
15时55分32秒     all     38.93      0.00      1.28     18.06      0.00     41.74
15时55分33秒     all     39.03      0.00      4.01     18.31      0.00     38.65
15时55分34秒     all     32.36      0.00      7.03     19.44      0.00     41.17
15时55分35秒     all     32.95      0.00      7.71     18.29      0.00     41.05
15时55分36秒     all     39.57      0.00      2.61     17.88      0.00     39.95
15时55分37秒     all     37.83      0.00      2.43     19.17      0.00     40.58
15时55分38秒     all     40.38      0.00      3.61     19.11      0.00     36.90
15时55分39秒     all     40.59      0.00      3.38     17.23      0.00     38.80
15时55分40秒     all     37.18      0.00      2.47     18.30      0.00     42.05
15时55分41秒     all     38.12      0.00      1.84     17.98      0.00     42.06
15时55分42秒     all     14.70      0.00      0.57      0.00      0.00     84.74
15时55分43秒     all     12.81      0.00      0.19      0.00      0.00     87.00
15时55分44秒     all     12.78      0.00      0.31      0.00      0.00     86.90
15时55分45秒     all     16.50      0.00      3.35      0.06      0.00     80.09
15时55分46秒     all     27.09      0.00      3.43      0.00      0.00     69.48
15时55分47秒     all     30.18      0.00      2.92      0.00      0.00     66.90
15时55分48秒     all     25.86      0.00      0.25      0.00      0.00     73.89
15时55分49秒     all     27.66      0.00      0.70      0.00      0.00     71.64
15时55分50秒     all     25.97      0.00      0.64      0.45      0.00     72.95
15时55分51秒     all     25.67      0.00      0.38      0.00      0.00     73.95
15时55分52秒     all     27.81      0.00      0.89      0.00      0.00     71.30
15时55分53秒     all     26.32      0.00      0.96      0.00      0.00     72.72
15时55分54秒     all     25.71      0.00      0.25      0.00      0.00     74.03
15时55分55秒     all     27.71      0.00      0.70      0.38      0.00     71.21
15时55分56秒     all     26.13      0.00      0.45      0.00      0.00     73.43
15时55分57秒     all     25.84      0.00      0.25      0.00      0.00     73.91
15时55分58秒     all     27.56      0.00      0.76      0.00      0.00     71.67
15时55分59秒     all     26.02      0.00      0.44      0.00      0.00     73.54
15时56分00秒     all     25.75      0.00      0.13      0.00      0.00     74.13
