Linux 6.8.0-59-generic (superlzx) 	2025年05月16日 	_x86_64_	(16 CPU)

15时39分37秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
15时41分09秒     all      4.02      0.00      2.42      0.19      0.00     93.37
15时41分10秒     all      5.45      0.00      3.80      0.19      0.00     90.55
15时41分11秒     all      7.18      0.00      5.36      0.00      0.00     87.46
15时41分12秒     all      1.81      0.00      1.87      0.00      0.00     96.32
15时41分13秒     all      0.71      0.00      0.64      0.00      0.00     98.65
15时41分14秒     all      3.10      0.00      4.45      0.19      0.00     92.26
15时41分15秒     all      0.98      0.00      2.22      0.00      0.00     96.80
15时41分16秒     all      0.85      0.00      1.95      0.00      0.00     97.20
15时41分17秒     all      1.17      0.00      2.21      0.00      0.00     96.62
15时41分18秒     all      8.16      0.00      5.46      0.26      0.00     86.12
15时41分19秒     all      2.99      0.00      1.89      0.00      0.00     95.12
15时41分20秒     all      4.32      0.00      4.12      0.00      0.00     91.56
15时41分21秒     all      1.62      0.00      2.21      0.00      0.00     96.17
15时41分22秒     all      3.38      0.00      3.25      0.00      0.00     93.36
15时41分23秒     all      1.76      0.00      2.80      0.00      0.00     95.44
15时41分24秒     all      2.86      0.00      3.32      0.00      0.00     93.82
15时41分25秒     all      2.79      0.00      2.79      0.00      0.00     94.42
15时41分26秒     all      0.78      0.00      2.34      0.00      0.00     96.88
15时41分27秒     all      0.91      0.00      1.89      0.00      0.00     97.20
15时41分28秒     all      4.60      0.00      3.50      0.00      0.00     91.89
15时41分29秒     all      1.56      0.00      2.79      1.10      0.00     94.55
15时41分30秒     all      0.91      0.00      1.76      0.00      0.00     97.33
15时41分31秒     all      2.60      0.00      2.47      0.00      0.00     94.94
15时41分32秒     all      0.91      0.00      2.15      0.00      0.00     96.94
15时41分33秒     all      3.06      0.00      3.39      0.00      0.00     93.55
15时41分34秒     all      2.67      0.00      2.99      0.00      0.00     94.34
15时41分35秒     all      1.04      0.00      2.20      0.00      0.00     96.76
15时41分36秒     all      1.10      0.00      2.08      0.00      0.00     96.82
15时41分37秒     all      1.11      0.00      2.28      0.00      0.00     96.61
15时41分38秒     all      1.82      0.00      3.31      0.00      0.00     94.87
15时41分39秒     all      1.16      0.00      2.71      0.06      0.00     96.06
15时41分40秒     all      1.17      0.00      2.80      0.00      0.00     96.03
15时41分41秒     all      0.84      0.00      2.40      0.00      0.00     96.75
15时41分42秒     all      1.17      0.00      2.20      0.00      0.00     96.63
15时41分43秒     all      0.91      0.00      2.28      0.00      0.00     96.81
15时41分44秒     all      4.22      0.00      3.57      0.91      0.00     91.30
15时41分45秒     all      1.42      0.00      2.53      0.00      0.00     96.05
15时41分46秒     all      1.76      0.00      2.48      0.00      0.00     95.76
15时41分47秒     all      1.04      0.00      1.88      0.00      0.00     97.08
15时41分48秒     all      0.97      0.00      2.34      0.00      0.00     96.69
15时41分49秒     all      0.97      0.00      2.34      0.39      0.00     96.30
15时41分50秒     all      0.97      0.00      2.08      0.00      0.00     96.95
15时41分51秒     all      0.91      0.00      2.02      0.00      0.00     97.06
15时41分52秒     all      1.16      0.00      2.59      0.39      0.00     95.86
15时41分53秒     all      2.41      0.00      2.08      0.00      0.00     95.51
15时41分54秒     all      1.17      0.00      2.28      0.00      0.00     96.55
15时41分55秒     all      0.97      0.00      2.14      0.00      0.00     96.88
15时41分56秒     all      1.10      0.00      2.01      0.00      0.00     96.89
15时41分57秒     all      1.17      0.00      2.08      0.33      0.00     96.42
15时41分58秒     all      0.97      0.00      2.27      0.00      0.00     96.76
15时41分59秒     all      1.04      0.00      2.08      0.00      0.00     96.89
15时42分00秒     all      0.98      0.00      2.41      0.00      0.00     96.62
15时42分01秒     all      1.04      0.00      2.40      0.00      0.00     96.56
15时42分02秒     all      1.04      0.00      1.89      0.20      0.00     96.87
15时42分03秒     all      0.97      0.00      2.34      0.00      0.00     96.69
15时42分04秒     all      0.84      0.00      2.21      0.00      0.00     96.95
15时42分05秒     all      1.04      0.00      2.02      0.00      0.00     96.94
15时42分06秒     all      1.10      0.00      2.66      0.00      0.00     96.24
15时42分07秒     all      1.04      0.00      1.96      0.46      0.00     96.54
15时42分08秒     all      1.04      0.00      2.20      0.00      0.00     96.76
15时42分09秒     all      1.10      0.00      2.59      0.00      0.00     96.31
15时42分10秒     all      1.04      0.00      2.15      0.00      0.00     96.81
